wall_time,frame_type,mcu_ts_ms,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,gps_lat,gps_lon,gps_speed_kmh,hdop,satellites,fix_valid,obd_speed_kmh,lora_node,lora_lat,lora_lon,lora_speed_kmh,lora_alert,lora_rssi_dbm,lora_snr_db
2026-04-23T11:38:23.594,IMU,158893,0.04833984375,0.171875,1.02294921875,-0.27483823895454407,0.007989482954144478,0.2207760512828827,,,,,,,,,,,,,,
2026-04-23T11:38:23.604,IMU,158902,0.02197265625,0.13671875,1.043701171875,-0.27883297204971313,0.017310546711087227,0.18002969026565552,,,,,,,,,,,,,,
2026-04-23T11:38:23.613,IMU,158913,-0.007080078125,0.126708984375,1.074951171875,-0.26871296763420105,0.02743055857717991,0.1834917962551117,,,,,,,,,,,,,,
2026-04-23T11:38:23.624,IMU,158922,0.005615234375,0.13818359375,1.0517578125,-0.22583605349063873,0.1203748807311058,0.17070862650871277,,,,,,,,,,,,,,
2026-04-23T11:38:23.634,IMU,158932,0.0107421875,0.13916015625,1.0283203125,-0.22317290306091309,0.1022653877735138,0.15206649899482727,,,,,,,,,,,,,,
2026-04-23T11:38:23.644,IMU,158943,0.0087890625,0.142333984375,1.044677734375,-0.17763283848762512,0.05086637660861015,0.1299622654914856,,,,,,,,,,,,,,
2026-04-23T11:38:23.651,OBD,158950,,,,,,,,,,,,,0,,,,,,,
2026-04-23T11:38:23.654,IMU,158953,0.02734375,0.11279296875,1.06591796875,-0.1390170156955719,0.01997370831668377,0.09374327212572098,,,,,,,,,,,,,,
2026-04-23T11:38:23.664,IMU,158963,0.023193359375,0.15185546875,1.0703125,-0.039148468524217606,0.07456851005554199,0.022104237228631973,,,,,,,,,,,,,,
2026-04-23T11:38:23.674,IMU,158973,0.03271484375,0.131103515625,1.05908203125,0.046339001506567,0.10572749376296997,-0.05060005933046341,,,,,,,,,,,,,,
2026-04-23T11:38:23.684,IMU,158983,0.00830078125,0.13720703125,1.054931640625,0.12863068282604218,0.0902811586856842,-0.09773801267147064,,,,,,,,,,,,,,
2026-04-23T11:38:23.694,IMU,158993,0.013427734375,0.11962890625,1.0791015625,0.23995082080364227,0.13369068503379822,-0.18002969026565552,,,,,,,,,,,,,,
2026-04-23T11:38:23.704,IMU,159003,0.018798828125,0.184814453125,1.02392578125,0.26391926407814026,0.1744370460510254,-0.20932446420192719,,,,,,,,,,,,,,
2026-04-23T11:38:23.714,IMU,159012,-0.010986328125,0.104736328125,1.0400390625,0.20719392597675323,-0.03755057230591774,-0.12436962127685547,,,,,,,,,,,,,,
